pdf file,"Wages, tips and other compensation",Federal Income tax withheld,Social Security wages,Social security tax withheld
OpenLogix W2.pdf,74140.00,8886.74,74140.00,4596.68
VMWARE W2.pdf,202676.58,41531.84,132900.00,8239.80
ISN W2.pdf,135405.59,14431.03,132900.00,8239.80
Intel W2.pdf,106468.39,16612.21,121169.32,7512.50
